Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Critic_Score_Class,KMEANS-prediction,GMM-prediction,BisKMeans-prediction
PS,Action,Eidos Interactive,0.58,0.4,0.0,0.07,1.04,T,Excelente,0,0,1
PS,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,T,Excelente,3,2,3
PS,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,T,Aceptable,0,0,1
PS,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,T,Excelente,7,2,3
PS,Action,Hasbro Interactive,0.8,0.54,0.0,0.09,1.43,E,Bueno,5,0,1
PS,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,M,Excelente,7,7,3
PS,Action,Sony Computer Entertainment,0.1,0.07,0.0,0.01,0.18,T,Malo,2,3,0
PS,Action,Take-Two Interactive,0.1,0.07,0.0,0.01,0.18,E,Aceptable,2,3,0
PS,Action,Take-Two Interactive,0.17,0.12,0.0,0.02,0.31,T,Malo,2,0,0
PS,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,M,Excelente,0,6,1
PS,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,M,Excelente,7,7,3
PS,Adventure,Eidos Interactive,0.07,0.05,0.0,0.01,0.13,E,Bueno,2,3,0
PS,Adventure,Infogrames,0.09,0.06,0.0,0.01,0.16,M,Bueno,2,3,0
PS,Adventure,THQ,0.15,0.1,0.0,0.02,0.27,M,Malo,2,3,0
PS,Adventure,Take-Two Interactive,0.06,0.04,0.0,0.01,0.11,M,Aceptable,2,3,0
PS,Fighting,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.21,E,Malo,2,3,0
PS,Fighting,Activision,0.4,0.27,0.0,0.05,0.72,T,Bueno,0,0,1
PS,Fighting,Electronic Arts,0.23,0.15,0.0,0.03,0.41,T,Excelente,2,0,0
PS,Fighting,Midway Games,0.12,0.08,0.0,0.01,0.21,M,Malo,2,3,0
PS,Fighting,Namco Bandai Games,0.0,0.0,0.1,0.01,0.11,T,Aceptable,2,1,0
PS,Fighting,Namco Bandai Games,0.01,0.01,0.0,0.0,0.02,E,Aceptable,2,3,0
PS,Fighting,Namco Bandai Games,0.13,0.09,0.0,0.02,0.23,T,Aceptable,2,3,0
PS,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27,T,Aceptable,0,6,1
PS,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,T,Excelente,7,7,3
PS,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,T,Excelente,7,4,3
PS,Fighting,Ubisoft,0.14,0.09,0.0,0.02,0.25,T,Malo,2,3,0
PS,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,1.03,T,Excelente,0,6,1
PS,Misc,Enix Corporation,0.04,0.03,0.18,0.02,0.26,E,Aceptable,2,1,0
PS,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92,K-A,Excelente,5,6,1
PS,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39,E,Aceptable,3,7,2
PS,Platform,Activision,0.35,0.24,0.0,0.04,0.63,E,Malo,0,0,0
PS,Platform,ESP,0.03,0.02,0.0,0.0,0.05,E,Aceptable,2,3,0
PS,Platform,GT Interactive,0.55,0.38,0.0,0.06,0.99,T,Excelente,0,0,1
PS,Platform,GT Interactive,0.75,0.44,0.0,0.06,1.24,T,Excelente,0,0,1
PS,Platform,Infogrames,0.07,0.05,0.0,0.01,0.12,E,Bueno,2,3,0
PS,Platform,Konami Digital Entertainment,0.07,0.05,0.0,0.01,0.13,T,Aceptable,2,3,0
PS,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,T,Excelente,0,6,1
PS,Platform,Sony Computer Entertainment,0.1,0.07,0.0,0.01,0.17,E,Bueno,2,3,0
PS,Platform,Sony Computer Entertainment,0.17,0.12,0.0,0.02,0.31,E,Aceptable,2,0,0
PS,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63,E,Excelente,5,6,1
PS,Platform,Sony Computer Entertainment,1.93,1.58,0.0,0.19,3.71,E,Excelente,3,2,2
PS,Platform,Ubisoft,0.08,0.06,0.0,0.01,0.15,E,Aceptable,2,3,0
PS,Platform,Virgin Interactive,0.05,0.03,0.0,0.01,0.08,E,Aceptable,2,3,0
PS,Racing,Activision,0.25,0.17,0.0,0.03,0.46,T,Aceptable,2,0,0
PS,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91,E,Excelente,0,5,1
PS,Racing,Electronic Arts,0.23,0.16,0.0,0.03,0.42,E,Aceptable,2,0,0
PS,Racing,Electronic Arts,0.3,0.2,0.0,0.03,0.53,T,Malo,0,0,0
PS,Racing,Electronic Arts,0.43,0.29,0.0,0.05,0.77,E,Bueno,0,0,1
PS,Racing,Electronic Arts,1.58,0.64,0.0,0.09,2.31,E,Excelente,5,5,2
PS,Racing,Empire Interactive,0.48,0.33,0.0,0.06,0.86,E,Malo,0,0,1
PS,Racing,Psygnosis,0.19,0.13,0.0,0.02,0.34,E,Excelente,2,0,0
PS,Racing,Sony Computer Entertainment,0.08,0.05,0.0,0.01,0.14,E,Aceptable,2,3,0
PS,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,E,Excelente,3,7,3
PS,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,T,Excelente,7,4,4
PS,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,E,Excelente,6,4,4
PS,Racing,Take-Two Interactive,0.44,0.3,0.0,0.05,0.79,E,Malo,0,0,1
PS,Role-Playing,ASCII Entertainment,0.11,0.07,0.29,0.03,0.5,E,Aceptable,2,1,0
PS,Role-Playing,Atlus,0.03,0.02,0.28,0.02,0.35,T,Excelente,2,1,0
PS,Role-Playing,Capcom,0.11,0.08,0.34,0.04,0.56,T,Excelente,2,6,0
PS,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,T,Excelente,0,6,1
PS,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05,0.81,T,Excelente,0,6,0
PS,Role-Playing,Kadokawa Shoten,0.19,0.13,0.0,0.02,0.35,T,Excelente,2,0,0
PS,Role-Playing,Kadokawa Shoten,0.27,0.18,0.06,0.04,0.55,T,Bueno,0,1,0
PS,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,T,Excelente,0,6,0
PS,Role-Playing,Max Five,0.03,0.02,0.0,0.0,0.05,E,Aceptable,2,3,0
PS,Role-Playing,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81,T,Bueno,0,6,0
PS,Role-Playing,Namco Bandai Games,0.23,0.16,0.16,0.04,0.58,E,Malo,0,1,0
PS,Role-Playing,Psygnosis,0.13,0.09,0.0,0.01,0.23,T,Excelente,2,3,0
PS,Role-Playing,Sony Computer Entertainment,0.04,0.03,0.0,0.0,0.07,T,Malo,2,3,0
PS,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1,E,Excelente,0,6,1
PS,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86,T,Bueno,5,6,1
PS,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,T,Excelente,7,4,4
PS,Role-Playing,Square,0.29,0.2,0.0,0.03,0.52,T,Excelente,0,0,0
PS,Role-Playing,Square EA,0.45,0.3,0.0,0.05,0.8,T,Excelente,0,0,1
PS,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14,E,Excelente,0,6,1
PS,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,1.46,T,Excelente,0,6,1
PS,Role-Playing,SquareSoft,0.32,0.22,0.0,0.04,0.58,M,Bueno,0,0,0
PS,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86,T,Excelente,5,6,1
PS,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1,M,Excelente,5,6,2
PS,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,T,Excelente,3,4,3
PS,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,T,Excelente,7,4,3
PS,Shooter,3DO,0.14,0.09,0.0,0.02,0.24,T,Malo,2,3,0
PS,Shooter,Fox Interactive,0.09,0.06,0.0,0.01,0.16,M,Aceptable,2,3,0
PS,Shooter,Midas Interactive Entertainment,0.07,0.05,0.0,0.01,0.12,E,Aceptable,2,3,0
PS,Shooter,Sony Computer Entertainment,0.04,0.03,0.0,0.0,0.07,E,Bueno,2,3,0
PS,Shooter,Sony Computer Entertainment,2.03,0.72,0.02,0.11,2.88,T,Excelente,3,5,2
PS,Shooter,TalonSoft,0.49,0.33,0.0,0.06,0.87,T,Malo,0,0,1
PS,Simulation,Konami Digital Entertainment,0.02,0.02,0.0,0.0,0.04,E,Bueno,2,3,0
PS,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,T,Excelente,0,6,1
PS,Sports,Acclaim Entertainment,0.15,0.1,0.0,0.02,0.27,E,Aceptable,2,3,0
PS,Sports,Activision,0.3,0.2,0.0,0.04,0.54,E,Excelente,0,0,0
PS,Sports,Activision,1.09,0.49,0.02,0.07,1.67,E,Excelente,5,5,1
PS,Sports,Activision,3.05,1.41,0.02,0.2,4.68,T,Excelente,3,2,3
PS,Sports,Electronic Arts,0.18,0.12,0.0,0.02,0.32,E,Excelente,2,0,0
PS,Sports,Electronic Arts,0.29,0.19,0.0,0.03,0.52,E,Excelente,0,0,0
PS,Sports,Electronic Arts,0.35,0.24,0.0,0.04,0.63,E,Excelente,0,0,0
PS,Sports,Electronic Arts,0.7,0.47,0.0,0.08,1.25,E,Excelente,0,0,1
PS,Sports,Electronic Arts,1.58,0.05,0.0,0.04,1.67,E,Excelente,5,5,1
PS,Sports,Konami Digital Entertainment,0.0,0.0,0.71,0.05,0.76,E,Excelente,0,6,0
PS,Strategy,Human Entertainment,0.04,0.03,0.0,0.0,0.07,T,Aceptable,2,3,0
PS,Strategy,Tecmo Koei,0.03,0.02,0.0,0.0,0.05,E,Bueno,2,3,0
PS2,Action,3DO,0.04,0.03,0.0,0.01,0.07,T,Malo,2,3,0
PS2,Action,3DO,0.08,0.07,0.0,0.02,0.17,T,Aceptable,2,3,0
PS2,Action,505 Games,0.01,0.01,0.0,0.0,0.02,M,Malo,2,3,0
PS2,Action,Acclaim Entertainment,0.05,0.04,0.0,0.01,0.11,T,Aceptable,2,3,0
PS2,Action,Acclaim Entertainment,0.06,0.05,0.0,0.02,0.12,M,Aceptable,2,3,0
PS2,Action,Activision,0.05,0.04,0.0,0.01,0.1,E,Aceptable,2,3,0
PS2,Action,Activision,0.09,0.07,0.0,0.02,0.19,E10+,Aceptable,2,3,0
PS2,Action,Activision,0.1,0.08,0.0,0.03,0.21,E10+,Aceptable,2,3,0
PS2,Action,Activision,0.12,0.0,0.0,0.26,0.38,E,Malo,2,5,0
PS2,Action,Activision,0.15,0.12,0.0,0.04,0.31,M,Malo,2,0,0
PS2,Action,Activision,0.2,0.15,0.0,0.05,0.41,T,Malo,2,0,0
PS2,Action,Activision,0.22,0.17,0.0,0.06,0.44,T,Aceptable,2,0,0
PS2,Action,Activision,0.24,0.19,0.0,0.06,0.5,E10+,Aceptable,2,0,0
PS2,Action,Activision,0.31,0.01,0.0,0.05,0.37,E10+,Aceptable,2,0,0
PS2,Action,Activision,0.4,0.02,0.0,0.07,0.48,E10+,Malo,2,0,0
PS2,Action,Activision,0.41,0.01,0.0,0.07,0.5,T,Aceptable,2,0,0
PS2,Action,Activision,0.57,0.02,0.07,0.09,0.76,M,Aceptable,0,6,1
PS2,Action,Activision,1.75,1.2,0.02,0.43,3.41,T,Excelente,3,5,2
PS2,Action,Activision,1.89,1.05,0.02,0.31,3.27,M,Bueno,3,5,2
PS2,Action,Activision,2.71,1.51,0.03,0.23,4.48,E,Bueno,3,2,3
PS2,Action,Atari,0.03,0.02,0.0,0.01,0.05,M,Aceptable,2,3,0
PS2,Action,Atari,0.15,0.04,0.0,0.24,0.43,E10+,Aceptable,2,5,0
PS2,Action,Atari,0.2,0.16,0.0,0.05,0.41,T,Malo,2,0,0
PS2,Action,Atari,1.78,1.12,0.09,0.19,3.18,T,Aceptable,3,2,2
PS2,Action,BAM! Entertainment,0.22,0.17,0.0,0.06,0.45,E,Malo,2,0,0
PS2,Action,Black Label Games,0.59,0.46,0.0,0.15,1.2,T,Malo,0,0,1
PS2,Action,Capcom,0.0,0.0,0.07,0.0,0.07,M,Bueno,2,1,0
PS2,Action,Capcom,0.03,0.02,0.0,0.01,0.05,M,Malo,2,3,0
PS2,Action,Capcom,0.03,0.03,0.0,0.01,0.07,M,Aceptable,2,3,0
PS2,Action,Capcom,0.03,0.03,0.18,0.01,0.25,T,Aceptable,2,1,0
PS2,Action,Capcom,0.04,0.03,0.0,0.01,0.09,M,Aceptable,2,3,0
PS2,Action,Capcom,0.04,0.03,0.09,0.01,0.17,M,Malo,2,1,0
PS2,Action,Capcom,0.05,0.04,0.23,0.01,0.33,M,Malo,2,1,0
PS2,Action,Capcom,0.11,0.03,0.15,0.34,0.63,T,Excelente,0,7,0
PS2,Action,Capcom,0.13,0.1,0.0,0.03,0.27,M,Bueno,2,3,0
PS2,Action,Capcom,0.14,0.11,0.0,0.04,0.28,T,Excelente,2,3,0
PS2,Action,Capcom,0.15,0.12,0.34,0.04,0.64,M,Excelente,0,6,0
PS2,Action,Capcom,0.17,0.13,0.0,0.04,0.35,M,Aceptable,2,0,0
PS2,Action,Capcom,0.19,0.15,0.17,0.05,0.57,M,Malo,0,1,0
PS2,Action,Capcom,0.22,0.17,0.14,0.06,0.58,E,Malo,0,1,0
PS2,Action,Capcom,0.37,0.47,0.54,0.07,1.45,M,Excelente,0,6,1
PS2,Action,Capcom,0.54,0.35,0.46,0.1,1.45,M,Bueno,0,6,1
PS2,Action,Capcom,0.99,0.63,0.29,0.19,2.09,M,Excelente,5,6,2
PS2,Action,Capcom,1.36,0.86,0.64,0.13,2.99,M,Excelente,5,7,2
PS2,Action,Capcom,2.08,0.83,0.46,0.25,3.62,M,Excelente,3,7,2
PS2,Action,D3Publisher,0.05,0.04,0.0,0.01,0.11,E10+,Malo,2,3,0
PS2,Action,D3Publisher,0.06,0.04,0.0,0.01,0.11,E10+,Malo,2,3,0
PS2,Action,Eidos Interactive,0.01,0.01,0.0,0.0,0.02,M,Aceptable,2,3,0
PS2,Action,Eidos Interactive,0.04,0.03,0.0,0.01,0.09,T,Bueno,2,3,0
PS2,Action,Eidos Interactive,0.1,0.08,0.0,0.03,0.21,M,Excelente,2,3,0
PS2,Action,Eidos Interactive,0.1,0.08,0.0,0.03,0.21,T,Bueno,2,3,0
PS2,Action,Eidos Interactive,0.25,0.19,0.0,0.06,0.5,M,Excelente,2,0,0
PS2,Action,Eidos Interactive,0.25,0.19,0.02,0.06,0.52,T,Excelente,2,1,0
PS2,Action,Eidos Interactive,0.61,0.48,0.0,0.16,1.25,T,Malo,0,0,1
PS2,Action,Eidos Interactive,1.36,1.15,0.04,0.41,2.96,M,Excelente,3,5,2
PS2,Action,Electronic Arts,0.13,0.1,0.0,0.03,0.27,E10+,Aceptable,2,3,0
PS2,Action,Electronic Arts,0.14,0.11,0.0,0.04,0.28,E,Malo,2,3,0
PS2,Action,Electronic Arts,0.21,0.17,0.0,0.06,0.43,E,Malo,2,0,0
PS2,Action,Electronic Arts,0.27,0.21,0.0,0.07,0.56,T,Aceptable,0,0,0
PS2,Action,Electronic Arts,0.34,0.01,0.0,0.06,0.41,T,Aceptable,2,0,0
PS2,Action,Electronic Arts,0.35,0.03,0.0,1.13,1.51,T,Aceptable,0,7,1
PS2,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,T,Excelente,3,2,3
PS2,Action,Enix Corporation,0.03,0.03,0.0,0.01,0.07,T,Bueno,2,3,0
PS2,Action,Hip Interactive,0.02,0.01,0.0,0.0,0.04,T,Malo,2,3,0
PS2,Action,Interplay,0.21,0.16,0.0,0.06,0.43,M,Aceptable,2,0,0
PS2,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.01,0.06,M,Malo,2,3,0
PS2,Action,Konami Digital Entertainment,0.03,0.03,0.0,0.01,0.07,M,Aceptable,2,3,0
PS2,Action,Konami Digital Entertainment,0.07,0.05,0.0,0.02,0.13,T,Malo,2,3,0
PS2,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59,M,Bueno,0,5,0
PS2,Action,Konami Digital Entertainment,0.18,0.14,0.05,0.05,0.42,M,Aceptable,2,1,0
PS2,Action,Konami Digital Entertainment,0.18,0.14,0.16,0.05,0.52,M,Excelente,2,1,0
PS2,Action,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44,T,Malo,2,0,0
PS2,Action,Konami Digital Entertainment,0.34,0.01,0.15,0.06,0.55,M,Excelente,0,6,0
PS2,Action,Konami Digital Entertainment,0.35,0.27,0.0,0.09,0.71,M,Excelente,0,0,1
PS2,Action,Konami Digital Entertainment,0.45,0.35,0.0,0.12,0.92,E,Malo,0,0,1
PS2,Action,Konami Digital Entertainment,0.46,0.36,0.0,0.12,0.94,M,Bueno,0,0,1
PS2,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,M,Excelente,3,7,2
PS2,Action,LucasArts,0.49,0.0,0.01,0.75,1.25,T,Aceptable,0,7,1
PS2,Action,LucasArts,1.47,1.39,0.03,0.43,3.32,T,Aceptable,3,5,2
PS2,Action,Midway Games,0.09,0.07,0.0,0.02,0.17,M,Bueno,2,3,0
PS2,Action,Midway Games,0.11,0.09,0.0,0.03,0.22,M,Malo,2,3,0
PS2,Action,Midway Games,0.18,0.14,0.0,0.05,0.37,E10+,Malo,2,0,0
PS2,Action,Midway Games,0.56,0.44,0.0,0.15,1.15,T,Bueno,0,0,1
PS2,Action,Midway Games,0.58,0.02,0.0,0.09,0.69,M,Bueno,0,0,1
PS2,Action,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,T,Malo,2,3,0
PS2,Action,Namco Bandai Games,0.03,0.02,0.0,0.01,0.05,T,Aceptable,2,3,0
PS2,Action,Namco Bandai Games,0.04,0.03,0.0,0.01,0.08,T,Aceptable,2,3,0
PS2,Action,Namco Bandai Games,0.04,0.03,0.25,0.01,0.34,T,Malo,2,1,0
PS2,Action,Namco Bandai Games,0.28,0.22,0.0,0.07,0.58,T,Malo,0,0,0
PS2,Action,Namco Bandai Games,1.26,0.05,0.0,0.21,1.51,E,Bueno,5,5,1
PS2,Action,SCi,0.1,0.07,0.0,0.02,0.2,T,Malo,2,3,0
PS2,Action,Sega,0.02,0.01,0.0,0.0,0.04,M,Aceptable,2,3,0
PS2,Action,Sega,0.03,0.02,0.0,0.01,0.06,T,Malo,2,3,0
PS2,Action,Sega,0.03,0.02,0.74,0.01,0.8,M,Bueno,0,6,0
PS2,Action,Sega,0.04,0.03,0.0,0.01,0.08,T,Malo,2,3,0
PS2,Action,Sega,0.06,0.04,0.0,0.01,0.12,M,Aceptable,2,3,0
PS2,Action,Sega,0.09,0.07,0.0,0.02,0.19,M,Malo,2,3,0
PS2,Action,Sega,0.13,0.0,0.0,0.39,0.52,E10+,Malo,2,7,0
PS2,Action,Sony Computer Entertainment,0.04,0.03,0.0,0.01,0.09,T,Aceptable,2,3,0
PS2,Action,Sony Computer Entertainment,0.05,0.04,0.0,0.01,0.1,M,Malo,2,3,0
PS2,Action,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,M,Aceptable,2,3,0
PS2,Action,Sony Computer Entertainment,0.21,0.16,0.12,0.05,0.55,M,Aceptable,2,1,0
PS2,Action,Sony Computer Entertainment,0.21,0.17,0.0,0.06,0.43,M,Bueno,2,0,0
PS2,Action,Sony Computer Entertainment,0.22,0.18,0.0,0.06,0.46,M,Excelente,2,0,0
PS2,Action,Sony Computer Entertainment,0.23,0.18,0.0,0.06,0.47,T,Excelente,2,0,0
PS2,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99,T,Aceptable,0,6,1
PS2,Action,Sony Computer Entertainment,0.39,1.01,0.02,0.36,1.78,M,Malo,5,5,1
PS2,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14,T,Excelente,0,7,1
PS2,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54,M,Bueno,3,5,2
PS2,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,M,Excelente,3,7,2
PS2,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,M,Excelente,3,5,3
PS2,Action,THQ,0.02,0.02,0.0,0.01,0.04,T,Aceptable,2,3,0
PS2,Action,THQ,0.1,0.08,0.0,0.03,0.21,M,Aceptable,2,3,0
PS2,Action,THQ,0.12,0.1,0.0,0.03,0.25,E10+,Malo,2,3,0
PS2,Action,THQ,0.18,0.14,0.0,0.05,0.36,E10+,Aceptable,2,0,0
PS2,Action,THQ,0.24,0.19,0.0,0.06,0.5,E,Aceptable,2,0,0
PS2,Action,THQ,0.24,0.19,0.34,0.06,0.83,T,Bueno,0,6,1
PS2,Action,THQ,0.25,0.2,0.0,0.07,0.52,M,Aceptable,2,0,0
PS2,Action,THQ,0.35,0.27,0.0,0.09,0.71,E,Malo,0,0,1
PS2,Action,THQ,0.5,0.02,0.0,0.08,0.6,M,Malo,0,0,0
PS2,Action,THQ,0.53,0.16,1.07,0.1,1.87,T,Bueno,5,6,1
PS2,Action,THQ,0.96,1.08,0.04,0.3,2.37,T,Aceptable,5,5,2
PS2,Action,Take-Two Interactive,0.04,0.03,0.0,0.01,0.08,M,Bueno,2,3,0
PS2,Action,Take-Two Interactive,0.13,0.1,0.0,0.03,0.26,M,Malo,2,3,0
PS2,Action,Take-Two Interactive,0.26,0.2,0.0,0.07,0.53,T,Aceptable,0,0,0
PS2,Action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88,E,Excelente,0,0,1
PS2,Action,Take-Two Interactive,0.44,0.02,0.0,0.07,0.53,M,Excelente,0,0,0
PS2,Action,Take-Two Interactive,0.63,0.49,0.0,0.16,1.28,M,Bueno,0,0,1
PS2,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94,T,Excelente,0,5,1
PS2,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.97,M,Bueno,0,5,1
PS2,Action,Take-Two Interactive,0.86,0.67,0.0,0.22,1.76,M,Bueno,5,0,1
PS2,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54,M,Bueno,3,5,2
PS2,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,M,Excelente,6,2,5
PS2,Action,Tecmo Koei,0.0,0.0,0.32,0.0,0.32,T,Bueno,2,1,0
PS2,Action,Tecmo Koei,0.03,0.02,0.0,0.01,0.06,M,Aceptable,2,3,0
PS2,Action,Tecmo Koei,0.03,0.02,0.0,0.01,0.06,T,Aceptable,2,3,0
PS2,Action,Tecmo Koei,0.03,0.03,0.0,0.01,0.07,T,Bueno,2,3,0
PS2,Action,Tecmo Koei,0.04,0.03,0.36,0.01,0.45,T,Bueno,2,6,0
PS2,Action,Tecmo Koei,0.06,0.05,0.0,0.02,0.13,T,Malo,2,3,0
PS2,Action,Tecmo Koei,0.11,0.09,0.12,0.03,0.34,T,Aceptable,2,1,0
PS2,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87,T,Malo,0,6,1
PS2,Action,Tecmo Koei,0.12,0.09,0.0,0.03,0.25,T,Malo,2,3,0
PS2,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1.0,T,Bueno,0,6,1
PS2,Action,Tecmo Koei,0.24,0.18,0.91,0.06,1.39,T,Aceptable,0,6,1
PS2,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11,T,Bueno,5,6,2
PS2,Action,Ubisoft,0.08,0.06,0.0,0.02,0.16,M,Excelente,2,3,0
PS2,Action,Ubisoft,0.54,0.88,0.0,0.22,1.64,M,Excelente,5,5,1
PS2,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,M,Excelente,0,0,1
PS2,Action,Ubisoft,0.71,1.02,0.0,0.31,2.04,T,Excelente,5,5,2
PS2,Action,Ubisoft,1.15,1.11,0.0,0.4,2.65,T,Excelente,5,5,2
PS2,Action,Universal Interactive,0.08,0.07,0.0,0.02,0.17,T,Malo,2,3,0
PS2,Action,Universal Interactive,0.11,0.09,0.0,0.03,0.23,T,Malo,2,3,0
PS2,Action,Universal Interactive,0.25,0.19,0.0,0.06,0.5,T,Malo,2,0,0
PS2,Action,Virgin Interactive,0.99,0.48,1.09,0.14,2.7,M,Excelente,5,7,2
PS2,Action,Vivendi Games,0.02,0.02,0.0,0.01,0.04,M,Malo,2,3,0
PS2,Action,Vivendi Games,0.09,0.07,0.0,0.02,0.18,T,Bueno,2,3,0
PS2,Action,Vivendi Games,0.1,0.07,0.0,0.03,0.2,M,Malo,2,3,0
PS2,Action,Vivendi Games,0.12,0.1,0.0,0.03,0.25,T,Malo,2,3,0
PS2,Action,Vivendi Games,0.34,0.01,0.0,0.06,0.41,E10+,Aceptable,2,0,0
PS2,Action,Vivendi Games,0.85,0.76,0.0,0.16,1.77,M,Malo,5,0,1
PS2,Action,Vivendi Games,0.99,0.04,0.0,0.16,1.19,M,Bueno,0,0,1
PS2,Action,Wanadoo,0.07,0.06,0.0,0.02,0.14,T,Bueno,2,3,0
PS2,Action,Wanadoo,0.2,0.15,0.06,0.05,0.46,T,Excelente,2,1,0
PS2,Action,Warner Bros. Interactive Entertainment,0.19,0.15,0.0,0.05,0.38,E10+,Malo,2,0,0
PS2,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0.0,0.52,1.27,E10+,Bueno,0,7,1
PS2,Adventure,10TACLE Studios,0.01,0.01,0.0,0.0,0.02,T,Malo,2,3,0
PS2,Adventure,3DO,0.03,0.02,0.0,0.01,0.05,T,Malo,2,3,0
PS2,Adventure,3DO,0.09,0.07,0.0,0.02,0.17,T,Malo,2,3,0
PS2,Adventure,Atari,0.03,0.02,0.0,0.01,0.06,M,Malo,2,3,0
PS2,Adventure,Atari,0.07,0.06,0.0,0.02,0.15,M,Excelente,2,3,0
PS2,Adventure,Atari,0.08,0.06,0.0,0.02,0.16,T,Aceptable,2,3,0
PS2,Adventure,Capcom,0.1,0.08,0.12,0.03,0.33,M,Aceptable,2,1,0
PS2,Adventure,Codemasters,0.07,0.05,0.0,0.02,0.14,T,Bueno,2,3,0
PS2,Adventure,Disney Interactive Studios,0.17,0.13,0.0,0.04,0.34,E10+,Aceptable,2,0,0
PS2,Adventure,Eidos Interactive,0.11,0.08,0.0,0.03,0.22,E,Aceptable,2,3,0
PS2,Adventure,Electronic Arts,0.07,0.05,0.0,0.02,0.14,T,Bueno,2,3,0
PS2,Adventure,Global Star,0.17,0.13,0.0,0.04,0.35,E,Malo,2,0,0
PS2,Adventure,Indie Games,0.02,0.01,0.0,0.0,0.04,T,Aceptable,2,3,0
PS2,Adventure,Konami Digital Entertainment,0.06,0.05,0.0,0.02,0.13,T,Malo,2,3,0
PS2,Adventure,Microids,0.03,0.03,0.0,0.01,0.07,M,Aceptable,2,3,0
PS2,Adventure,Sammy Corporation,0.03,0.03,0.0,0.01,0.07,T,Malo,2,3,0
PS2,Adventure,Sega,0.05,0.04,0.84,0.16,1.09,M,Bueno,0,7,1
PS2,Adventure,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,E,Bueno,2,3,0
PS2,Adventure,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.18,M,Bueno,2,3,0
PS2,Adventure,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26,M,Bueno,2,3,0
